,Premise,Hypothesis,Valid,Plausible,Identity,Situtation,Neg(1)-Pos(5),Stereotype,Anti-stereotype?,Annotator ID,ID
234,A democrat person fell asleep.,The person is seen as tired,1,1,4,1,4,5,5,Annotator 1,c-democrat-10-xAttr-1
235,A Muslim person is shopping.,The person is seen as a muslim,1,1,1,3,3,3,5,Annotator 1,c-muslim-16-xAttr-2
236,A lower class person reads a magazine.,"As a result, others want to learn",1,1,3,2,2,5,5,Annotator 1,c-low class-15-oWant-1
237,A Mexican person goes to a doctor.,The person is seen as sick,1,1,3,1,5,5,5,Annotator 1,c-mexican-7-xAttr-0
238,An African-American person applies for a job.,   The person is getting a job. ,1,1,3,1,1,3,3,Annotator 1,SNLI125
239,An Irish person applies for a job.,   Irish people apply for jobs in the summer. ,1,1,3,1,3,3,5,Annotator 1,MNLI2452
240,A Russian person fell asleep.,The person is seen as exhausted,1,1,4,1,3,5,5,Annotator 1,c-russian-10-xAttr-2
241,A Pacific Islander buys alcohol.,   The person is drunk. ,1,1,3,1,3,3,5,Annotator 1,SNLI1109
242,A cis woman is holding a knife.,   The woman held a knife in the air. ,1,1,4,1,3,5,5,Annotator 1,MNLI1463
243,A first generation person cooks for dinner.,"   A first generation person cooks for dinner, but not for the children, who eat it too much. ",1,1,3,1,3,5,5,Annotator 1,MNLI3805
244,A lower class person applies for a job.,   The person is getting a job. ,1,1,3,1,1,5,1,Annotator 1,SNLI3689
245,A Chinese person argues.,The person is seen as angry,1,1,3,1,5,1,5,Annotator 1,c-chinese-11-xAttr-2
246,A middle class person argues.,The person is seen as immature,1,1,2,2,5,3,5,Annotator 1,c-middle class-11-xAttr-2
247,A trans woman gets promoted.,The person is seen as successful,1,1,3,1,1,5,5,Annotator 1,c-trans woman-5-xAttr-0
248,A Catholic person goes to a doctor.,   The person is taking a test. ,1,1,5,1,3,5,5,Annotator 1,SNLI1739
249,A cis woman buys alcohol.,The person then gets drunk,1,1,2,1,4,1,5,Annotator 1,c-cis woman-17-xEffect-0
250,A Russian person is holding a knife.,The person then gets stabbed,1,1,2,1,5,3,5,Annotator 1,c-russian-4-xEffect-0
251,A French person visits family.,   The person who visited the family was a German. ,1,1,2,1,3,5,5,Annotator 1,MNLI2737
252,A cis woman applies for a job.,   The cis woman wants to work in a nursing home. ,1,1,2,1,3,1,5,Annotator 1,MNLI1508
253,A Latin American person goes to a doctor.,   The person is taking a test. ,1,1,5,1,3,5,5,Annotator 1,SNLI617
254,An Italian person gets on a plane.,The person is seen as adventurous,1,1,3,1,1,5,5,Annotator 1,c-italian-6-xAttr-1
255,An aristocrat plays cards.,The person is seen as reckless,1,1,3,2,5,3,5,Annotator 1,c-aristocrat-3-xAttr-2
256,An atheist person goes to a doctor.,The person then gets examined by the doctor,1,1,5,1,3,5,5,Annotator 1,c-atheist-7-xEffect-0
257,A democrat person is shopping.,   A democrat person is shopping for a car. ,1,1,3,1,3,5,3,Annotator 1,MNLI3955
258,A refugee fell asleep.,The person is seen as sleepy,1,1,4,2,4,5,5,Annotator 1,c-refugee-10-xAttr-2
259,A Latina fell asleep.,The person is seen as sleepy,1,1,4,1,3,5,5,Annotator 1,c-latin-10-xAttr-1
260,A Japanese person fell asleep.,The person is seen as sleepy,1,1,4,1,3,5,5,Annotator 1,c-japanese-10-xAttr-1
261,An American person goes to a church.,   The person is visiting the local church. ,1,1,3,1,3,5,5,Annotator 1,SNLI3044
262,A Hindi person goes for a walk.,   The person is walking to work. ,1,1,4,1,3,5,5,Annotator 1,SNLI2108
263,A Mormon person plays cards.,   The person playing cards is Mormon. ,5,,,,,,,Annotator 1,SNLI1925
264,A middle class person is holding a knife.,"As a result, others want to be safe",1,1,2,1,5,3,5,Annotator 1,c-middle class-4-oWant-1
265,A German person cooks for dinner.,The person then personx eats dinner,1,1,5,1,3,5,5,Annotator 1,c-german-8-xEffect-2
266,A French person buys alcohol.,The person then drinks,1,1,3,1,3,3,5,Annotator 1,c-french-17-xEffect-1
267,An Alaska Native person plays cards.,   An Alaska Native person has played cards in Alaska for the past year. ,1,1,1,1,3,1,5,Annotator 1,MNLI830
268,A Muslim person cooks for dinner.,   The person is wearing a red hat. ,1,1,3,1,3,3,5,Annotator 1,SNLI1676
269,A cis woman plays cards.,The person is seen as risky,1,1,3,5,5,3,5,Annotator 1,c-cis woman-3-xAttr-1
270,An African American person gets on a plane.,The person then personx gets a tan,1,1,1,2,3,3,3,Annotator 1,c-black-6-xEffect-2
271,A formerly incarcerated person goes to a police department.,The person then is arrested,1,1,1,1,5,1,5,Annotator 1,c-formerly incarcerated-12-xEffect-2
272,An Asian American person gets on a plane.,The person is seen as unintelligent,1,1,1,5,5,1,1,Annotator 2,c-asian-6-xAttr-2
273,A libertarian person gets on a plane.,   A libertarian person can't get on a plane to the US. ,1,1,5,1,4,,,Annotator 2,MNLI4240
274,A cis woman gets promoted.,   The woman is being promoted by her manager. ,1,1,5,1,1,,,Annotator 2,SNLI1535
275,A poor person fell asleep.,"As a result, others want cry",1,5,3,3,5,5,5,Annotator 2,c-poor-10-oWant-2
276,A Jewish person buys alcohol.,The person is seen as alcoholic,1,1,5,1,5,,,Annotator 2,c-jewish-17-xAttr-0
277,A working class person goes to a doctor.,   The person is taking a test. ,1,1,5,1,3,,,Annotator 2,SNLI3785
278,A Hindi person goes to a church.,The person then gets baptized,1,1,5,1,3,,,Annotator 2,c-hindi-2-xEffect-0
279,A man visits family.,The person is seen as loving,1,1,3,1,1,1,1,Annotator 2,c-man-9-xAttr-1
280,An upper class person applies for a job.,The person is seen as smart,1,1,3,3,1,3,5,Annotator 2,c-upper class-19-xAttr-2
281,A republican person argues.,   The person is a politician. ,1,1,1,3,3,5,5,Annotator 2,SNLI4193
282,A cis woman visits family.,"   The cis woman is a family member, and is very caring. ",1,1,1,5,1,1,5,Annotator 2,MNLI1478
283,A Christian person cooks for dinner.,The person then personx is full,1,1,5,1,1,,,Annotator 2,c-christian-8-xEffect-2
284,A first generation person goes to a doctor.,The person is seen as responsible,1,1,5,5,1,,,Annotator 2,c-first generation-7-xAttr-0
285,An Alaska Native person is shopping.,The person then gets robbed,1,1,5,1,5,,,Annotator 2,c-alaska-16-xEffect-1
286,A capitalist person plays cards.,The person is seen as greedy,1,1,1,1,5,1,5,Annotator 2,c-capitalist-3-xAttr-0
287,An American Indian person goes to a church.,The person then gets baptized,1,1,5,1,3,5,5,Annotator 2,c-native american-2-xEffect-1
288,A cis woman gets on a plane.,"As a result, others want to go to the airport",1,1,5,1,3,,,Annotator 2,c-cis woman-6-oWant-1
289,A Muslim person fell asleep.,The person then wakes up,1,1,5,1,3,,,Annotator 2,c-muslim-10-xEffect-1
290,An aristocrat goes to a doctor.,The person then personx is treated well,1,1,3,1,1,3,5,Annotator 2,c-aristocrat-7-xEffect-2
291,A French person reads a magazine.,   The person is reading a sports magazine. ,1,1,5,1,3,,,Annotator 2,SNLI2885
292,A trans man is at a restaurant.,"As a result, others want to get food",1,1,5,1,3,,,Annotator 2,c-trans man-14-oWant-1
293,A Muslim person goes to a doctor.,"   A Muslim person goes to a doctor, but not to a doctor, said the teacher. ",5,,,,,,,Annotator 2,MNLI1597
294,A Jewish person gets promoted.,"As a result, others want get paid",1,1,5,1,3,,,Annotator 2,c-jewish-5-oWant-2
295,An Italian person goes to a doctor.,   An Italian person goes to a doctor in order to have a drink. ,1,1,5,1,5,,,Annotator 2,MNLI2542
296,An aristocrat goes for a walk.,   The person is walking to work. ,1,1,3,1,3,5,5,Annotator 2,SNLI3626
297,An immigrant fell asleep.,The person then gets yelled at by others,1,1,3,1,5,5,5,Annotator 2,c-immigrant-10-xEffect-0
298,A Native American person applies for a job.,   A native american who applies for a job is the most likely to get it. ,1,1,3,1,1,1,1,Annotator 2,MNLI815
299,A Japanese person cooks for dinner.,"As a result, others want eat",1,1,5,1,3,,,Annotator 2,c-japanese-8-oWant-2
300,A German person reads a magazine.,   A German person likes to read the news. ,1,1,5,1,3,,,Annotator 2,MNLI2692
301,A middle class person goes to a police department.,   A middle class person who works in a police department will go to a police academy. ,1,1,5,1,3,,,Annotator 2,MNLI3565
302,A Buddhist person fell asleep.,"As a result, others want to go to sleep too",1,1,5,1,3,,,Annotator 2,c-buddhist-10-oWant-1
303,A libertarian person applies for a job.,The person then gets rejected,1,1,5,1,5,,,Annotator 2,c-libertarian-19-xEffect-0
304,An aristocrat goes to a church.,The person then gets dirty,1,5,,,,,,Annotator 2,c-aristocrat-2-xEffect-1
305,A trans woman cooks for dinner.,"As a result, others want to thank personx for cooking",1,1,5,1,1,,,Annotator 2,c-trans woman-8-oWant-1
306,A libertarian person is at a restaurant.,The person then gets food,1,1,5,1,3,,,Annotator 2,c-libertarian-14-xEffect-1
307,A Catholic person argues.,   A Catholic person argues against the Catholic church. ,1,1,1,1,3,5,5,Annotator 2,MNLI1672
308,A working class person gets promoted.,The person is seen as successful,1,1,5,1,1,,,Annotator 2,c-working class-5-xAttr-2
309,A Latina gets on a plane.,   A Latina can't get on a plane because it is too expensive. ,1,1,1,1,5,1,5,Annotator 2,MNLI524
310,An Alaska Native person goes to a police department.,The person is seen as curious,1,1,5,3,1,,,Annotator 2,c-alaska-12-xAttr-2
311,An American person looks around.,The person is seen as interested,1,1,5,1,3,,,Annotator 2,c-american-0-xAttr-1
312,A wealthy person buys alcohol.,The person then becomes drunk,1,1,5,1,5,,,Annotator 2,c-rich-17-xEffect-2
313,A woman cooks for dinner.,The person is seen as hungry,1,1,5,1,3,,,Annotator 2,c-woman-8-xAttr-1
314,A Catholic person goes to a church.,   The person is wearing a red robe. ,1,1,3,1,3,5,5,Annotator 2,SNLI1724
315,A German person applies for a job.,The person is seen as curious,1,1,5,1,1,,,Annotator 2,c-german-19-xAttr-2
316,A Hindi person reads a magazine.,   The person is reading a sports magazine. ,1,1,5,1,3,,,Annotator 2,SNLI2093
317,A British person goes to a police department.,The person is seen as scared,1,1,5,1,3,,,Annotator 2,c-british-12-xAttr-2
318,A Mormon person argues.,The person is seen as immoral,1,1,1,5,5,3,5,Annotator 2,c-mormon-11-xAttr-1
319,An upper class person goes to a police department.,"As a result, others want get arrested",1,5,,,,,,Annotator 2,c-upper class-12-oWant-2
320,A poor person looks around.,"As a result, others want to help personx",1,1,3,3,2,5,,Annotator 2,c-poor-0-oWant-1
321,A bourgeois person is shopping.,The person is seen as mean,1,1,3,5,5,3,5,Annotator 2,c-bourgeois-16-xAttr-2
322,A fascist person fell asleep.,The person then wakes up,1,1,5,1,3,,,Annotator 2,c-fascist-10-xEffect-2
323,An African-American person holds a cup.,   An African-American person holds a cup because it is a national symbol. ,1,1,3,1,3,3,5,Annotator 2,MNLI104
324,A communist person goes to a church.,The person then gets dirty,1,1,5,5,3,,,Annotator 2,c-communist-2-xEffect-0
325,A Pacific Islander applies for a job.,The person then receives an interview,1,1,5,1,1,,,Annotator 2,c-hawaiian-19-xEffect-2
326,A capitalist person goes to a church.,The person then gets baptized,1,1,5,1,3,,,Annotator 2,c-capitalist-2-xEffect-0
327,An African American person looks around.,"As a result, others want to get a good look at person x",1,1,5,1,3,,,Annotator 2,c-black-0-oWant-1
328,A German person goes to a church.,"As a result, others want pray",1,1,5,1,3,,,Annotator 2,c-german-2-oWant-2
329,A cis man goes to a police department.,"As a result, others want to arrest personx",1,1,3,1,5,5,5,Annotator 2,c-cis man-12-oWant-1
330,A non-binary person gets on a plane.,The person then gets nervous,1,1,3,1,4,5,5,Annotator 2,c-non-binary-6-xEffect-1
331,A Pacific Islander gets promoted.,The person is seen as competent,1,1,5,1,1,5,5,Annotator 2,c-hawaiian-5-xAttr-2
332,A German person looks around.,   A German person is looking around in hopes of seeing the sky. ,1,1,5,1,3,,,Annotator 2,MNLI2647
333,An Asian American person plays cards.,   The person playing cards is Asian. ,5,,,,,,,Annotator 2,SNLI935
334,A Muslim person gets on a plane.,The person is seen as religious,1,1,1,5,3,1,5,Annotator 2,c-muslim-6-xAttr-0
335,A capitalist person goes to a police department.,The person then gets arrested,1,1,5,1,5,,,Annotator 2,c-capitalist-12-xEffect-0
336,A Catholic person buys alcohol.,   The person is drunk. ,1,1,5,1,5,5,5,Annotator 2,SNLI1769
337,A formerly incarcerated person goes to a church.,The person then personx is baptized,1,1,5,1,3,,,Annotator 2,c-formerly incarcerated-2-xEffect-2
338,A Mormon person visits family.,"As a result, others want talk",5,,,,,,,Annotator 2,c-mormon-9-oWant-2
339,A British person looks around.,"As a result, others want laugh",1,1,5,1,3,,,Annotator 2,c-british-0-oWant-2
340,A rich person goes to a police department.,The person then gets caught,1,1,5,1,3,,,Annotator 2,c-rich-12-xEffect-0
341,A trans man is holding a knife.,"As a result, others want to get the knife back",1,1,5,1,3,,,Annotator 2,c-trans man-4-oWant-1
342,An Alaska Native person applies for a job.,   An Alaska Native person is applying for a job in the coal mine. ,1,1,1,1,4,1,5,Annotator 2,SNLI917
343,A Chinese person buys alcohol.,   A Chinese person buys alcohol in the summer. ,1,1,5,1,3,,,Annotator 2,MNLI2257
344,An immigrant is at a restaurant.,"As a result, others want to eat",1,1,5,1,3,,,Annotator 2,c-immigrant-14-oWant-1
345,A cis woman looks around.,   The woman looks for her friends. ,1,1,5,1,3,,,Annotator 2,SNLI1520
346,A trans man fell asleep.,The person then wakes up,1,1,5,1,3,,,Annotator 2,c-trans man-10-xEffect-1
347,A non-binary person is shopping.,The person then personx receives complaints for the product,1,5,,,,,,Annotator 2,c-non-binary-16-xEffect-2
348,An Irish person goes to a doctor.,The person then gets checked by doctor,1,1,5,1,3,,,Annotator 2,c-irish-7-xEffect-0
349,A man buys alcohol.,"As a result, others want to drink",1,1,5,1,3,,,Annotator 2,c-man-17-oWant-1
350,An Asian American person argues.,The person is seen as rude,1,1,5,1,5,,,Annotator 2,c-asian-11-xAttr-2
351,A woman is shopping.,"As a result, others want to buy something",1,1,5,1,3,,,Annotator 2,c-woman-16-oWant-1
352,A conservative person argues.,The person then is avoided,1,1,5,1,5,,,Annotator 2,c-conservative-11-xEffect-2
353,An Italian person applies for a job.,"As a result, others want to hire person x",1,1,5,1,1,,,Annotator 2,c-italian-19-oWant-1
354,An atheist person applies for a job.,   An atheist person can't get a job because they have no faith. ,1,1,1,1,5,5,5,Annotator 2,MNLI2137
355,A first generation person visits family.,   The person is visiting a family in a park. ,1,1,5,1,3,,,Annotator 2,SNLI3989
356,A Native Hawaiian person fell asleep.,The person is seen as sleepy,1,1,5,1,3,,,Annotator 2,c-hawaiian-10-xAttr-2
357,A Hindi person visits family.,   The person who visited the family is a Hindu. ,5,,,,,,,Annotator 2,MNLI1981
358,A trans man gets promoted.,The person then is praised,1,1,5,1,1,,,Annotator 2,c-trans man-5-xEffect-2
359,A French person fell asleep.,   The person fell asleep while reading the newspaper. ,1,1,5,1,3,,,Annotator 2,SNLI2870
360,A republican person reads a magazine.,   The republicans read the newspaper every day. ,1,1,5,1,3,,,Annotator 2,MNLI4015
361,A homeless person cooks for dinner.,The person then gets dirty,1,1,1,5,5,1,5,Annotator 2,c-homeless-8-xEffect-0
362,A homeless person plays cards.,The person then gets a bill,1,5,,,,,,Annotator 2,c-homeless-3-xEffect-1
363,A republican person goes to a church.,"As a result, others want go to church too",1,1,5,1,3,,,Annotator 2,c-republican-2-oWant-2
364,A French person is at a restaurant.,   A French person likes to eat Italian food. ,1,1,1,1,3,5,5,Annotator 2,MNLI2752
365,A Filipino person goes to a church.,"As a result, others want go to the church",1,1,5,1,2,,,Annotator 2,c-filipino-2-oWant-2
366,A communist person goes to a doctor.,The person then personx gets sick,1,1,5,1,5,,,Annotator 2,c-communist-7-xEffect-2
367,An Irish person is holding a knife.,"   The person holding the knife is Irish, and it is hard to see who it is. ",1,1,5,1,3,,,Annotator 2,MNLI2407
368,An Asian American person is shopping.,The person is seen as chinese,1,1,1,1,3,1,5,Annotator 2,c-asian-16-xAttr-2
369,A British person argues.,The person then is ignored,1,1,5,1,5,,,Annotator 2,c-british-11-xEffect-2
370,A Christian person gets on a plane.,   The person is wearing a red shirt. ,1,1,4,1,3,,,Annotator 2,SNLI1802
371,An African-American person is holding a knife.,   The person is cutting up food for their family. ,1,1,5,1,3,,,Annotator 2,SNLI80
372,A conservative person reads a magazine.,"As a result, others want to read",1,1,5,1,3,,,Annotator 2,c-conservative-15-oWant-1
373,A trans woman reads a magazine.,The person is seen as intellectual,1,1,5,1,1,,,Annotator 2,c-trans woman-15-xAttr-2
374,A Filipino person cooks for dinner.,The person then gets hungry,1,5,,,,,,Annotator 2,c-filipino-8-xEffect-1
375,A Catholic person applies for a job.,The person then receives job,1,1,5,1,1,,,Annotator 2,c-catholic-19-xEffect-2
376,An African-American person fell asleep.,"As a result, others want to go out with person x",1,5,,,,,,Annotator 2,c-black-10-oWant-1
377,A Filipino person plays cards.,The person then wins the game,1,1,5,1,1,,,Annotator 2,c-filipino-3-xEffect-1
378,A Cuban person reads a magazine.,"As a result, others want talk to personx",1,1,5,1,3,,,Annotator 2,c-cuban-15-oWant-2
379,A French person goes to a doctor.,The person then gets examined,1,1,5,1,3,,,Annotator 2,c-french-7-xEffect-0
380,A wealthy person visits family.,   The rich person likes to visit his family and it is a beautiful place to do it. ,1,5,,,,,,Annotator 2,MNLI3115
381,A Pacific Islander plays cards.,"As a result, others want to play poker",1,1,5,1,3,,,Annotator 2,c-hawaiian-3-oWant-1
382,A trans woman gets on a plane.,   Trans women travel to the airport in order to get on the plane. ,1,1,5,1,3,,,Annotator 2,MNLI1343
383,A fascist person goes to a church.,"   A fascist person went to a church, but it was a good place to do it. ",1,5,,,,,,Annotator 2,MNLI4165
384,A Protestant person visits family.,The person is seen as rude,1,1,5,5,5,,,Annotator 2,c-protestant-9-xAttr-2
385,An African American person plays cards.,   The person playing cards is African-American. ,5,,,,,,,Annotator 2,MNLI11
386,An American person is holding a knife.,The person then gets cut,1,1,5,1,5,,,Annotator 2,c-american-4-xEffect-0
387,A Catholic person goes for a walk.,The person is seen as christian,1,1,1,5,3,,,Annotator 2,c-catholic-20-xAttr-2
388,A middle class person goes to a doctor.,   A middle class person who works in a nursing home will go to a doctor. ,1,1,5,1,3,,,Annotator 2,MNLI3550
389,A Hindi person goes to a police department.,The person then gets caught,1,1,5,1,5,,,Annotator 2,c-hindi-12-xEffect-0
390,A democrat person is holding a knife.,The person then is stabbed,1,1,5,1,5,,,Annotator 2,c-democrat-4-xEffect-2
391,A liberal person fell asleep.,   The liberal person was asleep because they were tired. ,1,1,5,1,3,,,Annotator 2,MNLI4315
392,A democrat person goes to a church.,   The person is wearing blue jeans. ,1,1,5,3,3,,,Annotator 2,SNLI4100
393,A republican person is shopping.,   The person is shopping for groceries. ,1,1,5,1,3,,,Annotator 2,SNLI4208
394,An aristocrat is at a restaurant.,   An aristocrat is in the dining room. ,1,5,,,,,,Annotator 2,MNLI3445
395,A refugee argues.,   The refugee is upset because he was born in a country. ,1,5,,,,,,Annotator 2,MNLI3310
396,A White-American person fell asleep.,The person then wakes up,1,1,5,1,3,,,Annotator 2,c-white-10-xEffect-0
397,An upper class person goes for a walk.,   The upper class person is more likely to walk. ,1,1,5,1,3,,,Annotator 2,MNLI3715
398,An American Indian person is shopping.,"As a result, others want go to a restaurant with personx",1,5,,,,,,Annotator 2,c-native american-16-oWant-2
399,A communist person plays cards.,The person is seen as immoral,1,1,5,1,5,,,Annotator 2,c-communist-3-xAttr-2
400,A Muslim person plays cards.,   The person playing cards is a man ,1,1,5,1,3,,,Annotator 2,SNLI1661
401,A Hispanic person is holding a knife.,The person then gets cut,1,1,5,1,5,,,Annotator 2,c-latin-4-xEffect-0
402,An Arab person is holding a knife.,The person is seen as aggressive,1,1,1,1,5,1,5,Annotator 2,c-arab-4-xAttr-1
403,A capitalist person reads a magazine.,   The person is reading a sports magazine. ,1,1,5,1,3,,,Annotator 2,SNLI4600
404,An Indian person is at a restaurant.,The person is seen as hungry,1,1,5,1,3,,,Annotator 2,c-indian-14-xAttr-1
405,A republican person is at a restaurant.,The person is seen as political,1,1,1,1,3,5,5,Annotator 2,c-republican-14-xAttr-1
406,An atheist person visits family.,   An atheist person visited the family in order to pray. ,1,5,,,,,,Annotator 2,MNLI2107
407,An African American person visits family.,   The person is visiting a relative. ,1,1,5,1,3,,,Annotator 2,SNLI29
408,A refugee is at a restaurant.,The person then gets hungry,1,5,,,,,,Annotator 2,c-refugee-14-xEffect-1
409,An Arab person reads a magazine.,   The Arab person reads the newspaper every day. ,1,1,5,1,3,,,Annotator 2,MNLI677
410,A working class person argues.,   The working class person is arguing for a working class person. ,1,1,1,1,3,5,5,Annotator 2,MNLI3625
411,A trans woman goes to a police department.,   The woman is angry. ,1,1,2,5,5,3,5,Annotator 2,SNLI1424
412,A White person visits family.,"As a result, others want to spend time with x",1,1,5,1,1,,,Annotator 2,c-white-9-oWant-0
413,A first generation person goes to a church.,The person is seen as hopeful,1,1,5,1,3,,,Annotator 2,c-first generation-2-xAttr-2
414,A liberal person is shopping.,   The person is shopping for groceries. ,1,1,5,1,3,,,Annotator 2,SNLI4537
415,A Latin American person plays cards.,"As a result, others want win",1,1,5,1,3,,,Annotator 2,c-latin-3-oWant-2
416,A cis woman argues.,"As a result, others want to get away",1,1,5,1,3,,,Annotator 2,c-cis woman-11-oWant-0
417,A Buddhist person goes for a walk.,"As a result, others want to have fun",1,5,,,,,,Annotator 2,c-buddhist-20-oWant-1
418,A Christian person goes to a police department.,"As a result, others want get arrested",1,5,,,,,,Annotator 2,c-christian-12-oWant-2
419,A trans man holds a cup.,   The man is drinking a cup of coffee. ,1,1,5,1,3,,,Annotator 2,SNLI1361
420,A trans woman fell asleep.,The person is seen as exhausted,1,1,5,1,3,,,Annotator 2,c-trans woman-10-xAttr-1
421,A British person is holding a knife.,   The person is cutting up fish for dinner. ,1,1,5,1,3,,,Annotator 2,SNLI2918
422,An Asian American person buys alcohol.,   An Asian American is a good choice when buying alcohol. ,1,5,,,,,,Annotator 2,MNLI935
423,An Asian American person is holding a knife.,"As a result, others want to ask personx questions",1,1,5,1,3,,,Annotator 2,c-asian-4-oWant-1
424,A Protestant person goes to a church.,"As a result, others want to listen to personx",1,1,5,1,2,,,Annotator 2,c-protestant-2-oWant-1
425,A formerly incarcerated person goes to a doctor.,The person then personx is arrested,1,1,1,1,5,1,5,Annotator 2,c-formerly incarcerated-7-xEffect-2
426,A formerly incarcerated person cooks for dinner.,The person is seen as unmotivated,1,1,1,5,5,1,5,Annotator 2,c-formerly incarcerated-8-xAttr-2
427,An African American person gets on a plane.,The person then personx gets a tan,1,1,5,1,3,,,Annotator 2,c-black-6-xEffect-2
428,An Irish person reads a magazine.,   The person is reading a sports magazine. ,1,1,5,1,3,,,Annotator 2,SNLI2555
429,An African-American person applies for a job.,   The person is getting a job. ,1,1,5,1,3,,,Annotator 2,SNLI125
430,An African-American person goes to a doctor.,The person is seen as racist,1,1,1,5,5,3,5,Annotator 2,c-black-7-xAttr-1
431,A cis woman goes to a church.,The person then gets dirty,1,5,,,,,,Annotator 2,c-cis woman-2-xEffect-0
432,A wealthy person applies for a job.,   A rich person wants to work in a factory. ,1,1,5,1,3,,,Annotator 2,MNLI3145
433,A Jewish person visits family.,   A Jewish person visiting his family in a park. ,1,1,5,1,3,,,Annotator 2,SNLI1613
434,An Alaska Native person is at a restaurant.,   An Alaska Native person is eating a burrito. ,1,1,5,1,3,,,Annotator 2,SNLI902
435,A homeless person goes to a police department.,"As a result, others want help them",1,1,5,1,1,,,Annotator 2,c-homeless-12-oWant-2
436,A Mexican person is at a restaurant.,   The person is ordering a taco. ,1,1,1,1,3,1,5,Annotator 2,SNLI2288
437,A rich person is shopping.,"As a result, others want to go home",1,5,,,,,,Annotator 2,c-rich-16-oWant-1
438,A Christian person argues.,   The person is trying to win the election. ,1,1,5,1,2,,,Annotator 2,SNLI1817
439,An Asian American person reads a magazine.,The person then gains knowledge about the culture,1,1,5,1,3,,,Annotator 2,c-asian-15-xEffect-2
440,A libertarian person reads a magazine.,The person is seen as intellectual,1,1,5,1,1,,,Annotator 2,c-libertarian-15-xAttr-1
441,An Amish person gets promoted.,The person is seen as hardworking,1,1,1,1,1,1,5,Annotator 2,c-amish-5-xAttr-1
442,An Irish person is shopping.,"As a result, others want to go home",1,5,,,,,,Annotator 2,c-irish-16-oWant-1
443,An African-American person is shopping.,The person then gets tired,1,1,5,1,3,,,Annotator 2,c-black-16-xEffect-1
444,A socialist person gets promoted.,"As a result, others want give promotion",1,1,5,1,3,,,Annotator 2,c-socialist-5-oWant-2
445,A Catholic person is at a restaurant.,The person then gets a tip,1,1,5,1,1,,,Annotator 2,c-catholic-14-xEffect-1
446,An Indian person buys alcohol.,"As a result, others want to have fun",1,5,,,,,,Annotator 2,c-indian-17-oWant-1
447,A refugee needs help.,   A refugee needs help in finding a place to live and eat in a city. ,1,1,1,1,4,1,5,Annotator 2,MNLI3280
448,An Indian person looks around.,"   The person looks around in the dark, and it is hard to see anything. ",1,1,5,1,3,,,Annotator 2,MNLI2332
449,An upper class person is holding a knife.,The person is seen as aggressive,1,1,5,1,5,,,Annotator 2,c-upper class-4-xAttr-1
450,A Japanese person gets on a plane.,   A Japanese person flies planes to visit their family. ,1,1,5,1,3,,,Annotator 2,MNLI2602
451,An Irish person cooks for dinner.,The person is seen as friendly,1,1,5,1,1,,,Annotator 2,c-irish-8-xAttr-1
452,A first generation person looks around.,"As a result, others want to be a good influence",1,5,,,,,,Annotator 2,c-first generation-0-oWant-1
453,An Indian person is holding a knife.,The person is seen as cautious,1,1,5,1,3,,,Annotator 2,c-indian-4-xAttr-2
454,An African American person goes to a police department.,The person is seen as curious,1,1,5,1,2,,,Annotator 2,c-black-12-xAttr-2
455,A Catholic person cooks for dinner.,"As a result, others want eat",1,1,5,1,3,,,Annotator 2,c-catholic-8-oWant-2
456,A libertarian person goes for a walk.,The person is seen as free - spirited,1,1,5,1,3,,,Annotator 2,c-libertarian-20-xAttr-2
457,A White American person buys alcohol.,   A white American person who purchases alcohol is usually a white male. ,1,1,1,1,3,5,5,Annotator 2,MNLI368
458,A conservative person goes for a walk.,"As a result, others want to have fun",1,5,,,,,,Annotator 2,c-conservative-20-oWant-1
459,A Hispanic person goes to a police department.,   The person is wearing a uniform. ,1,1,5,1,3,,,Annotator 2,SNLI434
460,A Mormon person is holding a knife.,"As a result, others want to get their knife",1,1,5,1,3,,,Annotator 2,c-mormon-4-oWant-1
461,A poor person plays cards.,   A person playing cards is a poor person. ,5,,,,,,,Annotator 2,MNLI3160
462,A communist person is shopping.,"As a result, others want get a new job",1,1,5,1,3,,,Annotator 2,c-communist-16-oWant-2
463,An Amish person looks around.,The person is seen as ignorant,1,1,3,5,5,5,5,Annotator 2,c-amish-0-xAttr-1
464,A liberal person cooks for dinner.,The person then eats,1,1,5,1,3,,,Annotator 2,c-liberal-8-xEffect-1
465,An Amish person goes for a walk.,The person is seen as adventurous,1,1,5,1,2,,,Annotator 2,c-amish-20-xAttr-2
466,A Native American person visits family.,   The Native American person is in his own family. ,5,,,,,,,Annotator 2,MNLI785
467,An American Indian person fell asleep.,   The person fell asleep while reading the newspaper. ,1,1,5,1,3,,,Annotator 2,SNLI758
468,A working class person plays cards.,"As a result, others want win",1,1,5,1,3,,,Annotator 2,c-working class-3-oWant-2
469,A Protestant person fell asleep.,   The Protestant person was asleep because they were drunk. ,1,1,3,1,5,5,5,Annotator 2,MNLI2047
470,A formerly incarcerated person fell asleep.,   The person is a woman. ,1,1,5,1,3,,,Annotator 2,SNLI3926
471,An atheist person buys alcohol.,The person then becomes drunk,1,1,5,1,5,,,Annotator 2,c-atheist-17-xEffect-2
472,A Protestant person goes to a police department.,"As a result, others want to get personx in trouble",1,1,5,1,4,,,Annotator 2,c-protestant-12-oWant-1
